aX,aY,aZ,gX,gY,gZ
0.726,-0.853,0.248,-79.224,-37.354,-1.038
0.833,-0.630,0.295,-85.022,-35.828,42.419
0.971,-0.464,0.407,-76.477,-40.833,36.804
1.035,-0.374,0.449,-48.279,-45.654,-7.690
0.990,-0.382,0.364,-13.245,-45.959,-73.181
0.878,-0.472,0.234,13.000,-40.833,-138.123
0.723,-0.543,0.119,23.804,-38.818,-180.908
0.596,-0.687,0.043,18.066,-40.955,-195.984
0.533,-0.967,0.032,-2.197,-39.612,-181.641
0.524,-1.170,0.110,-27.893,-31.006,-136.475
0.583,-1.149,0.176,-50.537,-18.494,-68.481
0.667,-0.992,0.171,-62.805,-10.803,-1.709
0.740,-0.837,0.184,-65.979,-8.362,31.616
0.768,-0.767,0.230,-57.556,-13.977,25.513
0.750,-0.771,0.230,-34.668,-25.574,-4.272
0.725,-0.794,0.206,-7.385,-37.109,-41.443
0.712,-0.815,0.192,14.038,-42.603,-73.120
0.689,-0.819,0.195,24.841,-40.833,-90.454
0.661,-0.828,0.158,24.109,-33.630,-91.492
0.618,-0.858,0.047,12.329,-24.048,-75.623
0.616,-0.807,0.023,-12.024,-16.357,-45.471
0.640,-0.731,0.048,-36.377,-14.832,-12.512
0.712,-0.658,0.124,-52.979,-17.578,6.836
0.753,-0.697,0.207,-57.861,-23.621,6.348
0.747,-0.859,0.252,-50.659,-26.855,-3.784
0.719,-0.938,0.272,-37.415,-24.475,-12.573
0.688,-0.928,0.255,-20.569,-23.560,-14.221
0.686,-0.885,0.206,-5.981,-25.696,-9.949
0.705,-0.811,0.188,1.770,-26.794,-3.357
0.733,-0.705,0.203,2.563,-25.757,3.723
0.747,-0.633,0.223,-1.465,-22.949,7.935
0.747,-0.630,0.213,-7.263,-19.287,8.850
0.751,-0.634,0.202,-12.695,-16.052,9.338
0.754,-0.637,0.210,-16.846,-14.587,8.911
0.751,-0.648,0.215,-20.020,-13.733,8.118
0.754,-0.656,0.209,-23.071,-12.573,7.690
0.755,-0.671,0.231,-25.146,-11.963,7.629
0.747,-0.700,0.264,-22.400,-12.146,4.822
0.758,-0.728,0.275,-14.160,-12.329,-0.610
0.765,-0.734,0.275,-5.188,-12.085,-6.470
0.764,-0.735,0.262,2.197,-10.254,-12.756
0.751,-0.741,0.250,7.202,-7.996,-17.944
0.728,-0.755,0.234,8.911,-5.920,-20.264
0.711,-0.757,0.212,8.728,-4.395,-18.799
0.703,-0.739,0.190,6.165,-3.418,-14.343

0.832,-1.215,0.858,11.658,7.507,19.836
0.894,-1.344,1.036,16.174,12.756,28.320
0.960,-1.485,1.205,24.536,19.165,40.344
1.013,-1.661,1.366,34.058,29.968,52.795
1.030,-1.842,1.621,42.175,47.791,67.810
1.048,-2.070,2.004,43.640,70.923,88.867
1.101,-2.301,2.375,46.692,99.548,122.375
1.152,-2.405,2.690,60.974,132.080,168.823
1.160,-2.397,2.819,93.506,170.898,216.858
1.083,-2.221,2.706,142.517,208.618,253.784
0.890,-1.991,2.623,190.857,243.774,273.071
0.652,-1.792,2.537,230.530,277.100,281.921
0.512,-1.351,2.370,270.874,301.697,291.748
0.469,-1.040,2.237,300.537,309.021,294.739
0.399,-1.044,1.939,314.697,310.547,295.593
0.250,-0.876,1.745,303.528,321.777,315.857
0.105,-0.683,1.575,263.489,340.149,352.783
-0.148,-0.676,1.064,217.102,352.234,394.653
-0.546,-0.539,0.650,159.607,356.934,436.462
-0.653,-0.337,0.513,117.249,346.863,461.792
-0.545,-0.244,0.345,107.178,327.637,459.717
-0.569,-0.060,0.099,107.056,337.097,431.396
-0.935,0.432,0.009,113.831,382.019,371.704
-2.176,1.154,-0.097,146.667,456.909,260.864
-4.000,2.425,-0.543,228.210,559.448,87.463
-4.000,4.000,-1.656,369.019,608.704,-134.949
-4.000,4.000,-3.524,480.103,512.085,-315.979
-4.000,4.000,-4.000,404.785,294.128,-352.783
-4.000,4.000,-4.000,128.113,50.659,-236.877
-4.000,3.568,-2.103,-222.412,-193.359,-33.813
-2.187,1.712,0.349,-449.463,-399.475,154.175
0.226,0.879,1.584,-464.233,-497.314,258.850
2.624,0.415,1.908,-359.436,-472.168,258.301
4.000,-0.011,1.963,-238.220,-372.192,162.903
4.000,-0.690,1.988,-133.179,-254.456,16.296
4.000,-1.399,1.666,-43.030,-126.221,-116.760
4.000,-1.677,0.888,28.442,3.540,-193.481
3.505,-1.591,-0.105,77.698,101.807,-223.267
2.086,-1.337,-1.016,98.877,154.663,-218.384
0.854,-0.967,-1.589,90.088,168.762,-183.289
-0.073,-0.500,-1.829,56.458,148.926,-127.930
-0.652,0.012,-1.892,11.658,112.366,-63.293
-0.923,0.538,-1.833,-33.752,72.144,-4.150
-0.991,0.959,-1.715,-69.397,32.959,33.813
-0.933,1.174,-1.590,-83.130,-3.174,45.349
-0.795,1.209,-1.470,-78.186,-33.020,37.109
-0.580,1.094,-1.394,-61.462,-55.603,19.531
-0.368,0.935,-1.326,-46.448,-73.914,2.869
-0.182,0.800,-1.244,-33.508,-86.243,-10.620
-0.038,0.671,-1.162,-26.672,-95.459,-21.790
0.092,0.543,-1.085,-24.414,-103.088,-31.555
0.220,0.436,-1.023,-25.696,-109.009,-41.626
0.315,0.340,-0.963,-30.579,-113.892,-52.734
0.377,0.235,-0.901,-37.415,-119.385,-64.270
0.451,0.149,-0.783,-45.105,-128.113,-73.547
0.541,0.110,-0.668,-55.847,-140.930,-74.402
0.640,0.083,-0.535,-66.406,-151.306,-67.139
