aX,aY,aZ,gX,gY,gZ
0.380,0.726,0.076,59.570,75.012,-111.877
0.387,0.612,-0.013,64.331,75.378,-111.572
0.375,0.547,0.012,61.523,73.242,-107.849
0.418,0.387,-0.058,59.509,71.594,-102.234
0.484,0.176,-0.191,63.965,69.702,-95.520
0.550,0.030,-0.305,69.214,67.078,-88.623
0.640,-0.085,-0.427,73.120,66.162,-82.764
0.737,-0.159,-0.558,73.608,67.139,-78.003
0.762,-0.148,-0.650,69.092,67.932,-72.327
0.802,-0.163,-0.796,64.453,68.054,-68.848
0.843,-0.198,-0.918,57.922,66.589,-64.087
0.869,-0.198,-0.948,45.593,63.904,-54.810
0.911,-0.193,-0.944,34.180,61.096,-44.495
0.981,-0.214,-0.935,28.259,58.533,-36.072
1.011,-0.243,-0.965,25.269,51.636,-29.968
1.054,-0.230,-1.000,26.611,46.997,-28.442
1.085,-0.201,-0.966,34.546,35.828,-32.227
1.116,-0.161,-0.925,44.434,20.569,-35.706
1.154,-0.149,-0.906,55.115,7.324,-39.246
1.145,-0.157,-0.870,61.523,-0.244,-43.091
1.078,-0.131,-0.830,60.974,-1.770,-43.762
1.020,-0.103,-0.789,53.772,0.366,-40.100
0.990,-0.101,-0.759,43.274,1.465,-34.607
0.993,-0.114,-0.745,32.166,-0.122,-29.480
1.012,-0.146,-0.749,24.902,-4.822,-25.635
1.026,-0.156,-0.729,22.156,-11.169,-22.095
1.032,-0.138,-0.666,22.034,-18.066,-20.203
1.039,-0.108,-0.580,23.499,-25.085,-19.043
1.065,-0.062,-0.469,24.780,-31.311,-17.578
1.078,-0.042,-0.397,26.001,-34.973,-15.564
1.092,-0.014,-0.351,28.625,-34.363,-13.245
1.123,0.020,-0.326,30.151,-31.433,-11.108
1.128,0.042,-0.315,29.968,-26.794,-9.827
1.119,0.036,-0.305,26.489,-20.813,-10.498
1.104,0.019,-0.310,19.592,-14.587,-12.329
1.078,-0.009,-0.326,11.536,-9.888,-13.550
1.056,-0.038,-0.313,2.930,-7.629,-13.977
1.040,-0.059,-0.285,-3.967,-6.226,-12.695
1.039,-0.063,-0.251,-7.629,-4.761,-10.254
1.040,-0.061,-0.228,-8.240,-3.479,-8.179
1.024,-0.046,-0.205,-5.798,-2.319,-7.385
1.010,-0.040,-0.206,-1.953,-1.648,-7.385
1.001,-0.037,-0.219,2.319,-1.221,-6.042
1.013,-0.022,-0.222,5.005,-0.366,-3.296
1.032,0.007,-0.209,5.127,1.831,-0.366
1.040,0.026,-0.205,3.601,4.761,2.014
1.031,0.031,-0.216,0.671,8.606,2.747
1.025,0.052,-0.221,-4.822,12.024,2.869
1.010,0.053,-0.225,-11.292,13.306,3.906
1.011,0.049,-0.214,-16.602,13.611,3.723
1.006,0.040,-0.196,-17.395,12.451,0.549
0.995,0.019,-0.201,-11.292,8.362,-4.883
0.977,-0.007,-0.217,-2.258,2.747,-11.597
0.959,-0.036,-0.218,6.531,-3.357,-17.151
0.947,-0.050,-0.192,13.550,-7.629,-19.104
0.947,-0.048,-0.161,17.883,-9.277,-17.395
0.957,-0.052,-0.159,19.470,-6.958,-13.550
0.956,-0.039,-0.158,17.944,-2.136,-8.484
0.967,0.002,-0.164,13.794,3.662,-3.174
0.964,0.023,-0.198,7.874,10.071,-0.183
0.958,0.026,-0.232,0.366,14.893,1.892
0.954,0.009,-0.246,-7.629,16.296,3.174
0.960,-0.005,-0.237,-14.709,16.052,4.089
0.951,-0.017,-0.228,-18.005,15.198,3.540
0.940,-0.022,-0.225,-16.602,12.512,1.709
0.939,-0.018,-0.214,-12.573,7.385,-1.221
0.944,-0.026,-0.194,-6.714,0.793,-4.761
0.947,-0.038,-0.163,-0.549,-4.517,-8.057
0.943,-0.047,-0.144,4.761,-6.775,-8.972
0.950,-0.040,-0.131,8.240,-5.981,-6.653
0.969,-0.026,-0.131,8.728,-3.479,-2.930
0.981,-0.016,-0.145,7.263,0.854,-0.366
0.977,-0.013,-0.160,4.272,5.249,0.854
0.964,-0.008,-0.169,0.977,9.033,1.038
0.958,-0.001,-0.186,-2.930,12.207,1.587
0.948,-0.001,-0.206,-6.287,14.160,2.930
0.952,0.001,-0.214,-9.277,13.489,3.723
0.947,0.005,-0.205,-10.132,10.986,2.991
0.943,0.003,-0.196,-8.240,7.324,1.221
0.940,0.001,-0.190,-5.554,4.150,-0.732
0.933,-0.007,-0.193,-3.052,1.831,-2.075

1.256,-0.630,-1.066,-46.387,-1.282,36.804
1.351,-0.939,-1.588,-18.311,24.597,35.828
1.555,-1.336,-2.353,9.399,58.167,37.598
1.532,-1.593,-3.218,22.888,93.872,45.654
1.188,-1.751,-3.999,19.165,133.484,54.932
0.740,-1.895,-4.000,-13.611,166.443,62.439
0.429,-1.981,-4.000,-70.190,183.655,84.106
-0.095,-1.735,-4.000,-142.517,172.424,139.038
-0.792,-1.400,-4.000,-187.317,140.869,182.190
-1.376,-1.172,-4.000,-192.749,72.632,189.575
-1.932,-1.047,-4.000,-168.152,-41.077,168.213
-2.578,-0.955,-4.000,-142.395,-184.509,146.851
-3.166,-0.895,-3.223,-118.103,-317.810,163.452
-3.926,-0.546,-1.498,-79.346,-399.231,242.859
-4.000,1.008,1.135,-26.672,-418.335,371.277
-4.000,4.000,4.000,38.330,-419.739,446.594
